Fold,Accuracy,Precision,Recall,F1-Score,AUC
1,0.9482758620689655,0.9795918367346939,0.9056603773584906,0.9411764705882353,0.9284216831386642
2,0.9224137931034483,0.9787234042553191,0.8518518518518519,0.9108910891089109,0.8939665471923537
3,0.9655172413793104,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9564950980392157
4,0.9137931034482759,0.9583333333333334,0.8518518518518519,0.9019607843137255,0.8859020310633213
5,0.9310344827586207,0.9811320754716981,0.8813559322033898,0.9285714285714286,0.907969075230449
6,0.9482758620689655,0.9791666666666666,0.9038461538461539,0.94,0.923828125
7,0.9310344827586207,0.9772727272727273,0.86,0.9148936170212766,0.8980303030303032
8,0.9391304347826087,0.9285714285714286,0.9069767441860465,0.9176470588235294,0.919735142118863
9,0.9478260869565217,1.0,0.8636363636363636,0.926829268292683,0.9020486555697823
10,0.8869565217391304,0.9574468085106383,0.8035714285714286,0.8737864077669902,0.8548728813559322
Mean,0.9334257871064467,0.969857161414984,0.8787084036838909,0.9214089457820114,0.9071269541738886
