Fold,Accuracy,Precision,Recall,F1-Score,AUC
1,0.9655172413793104,0.9803921568627451,0.9433962264150944,0.9615384615384616,0.977088948787062
2,0.9396551724137931,0.9795918367346939,0.8888888888888888,0.9320388349514563,0.9247311827956989
3,0.9568965517241379,0.9387755102040817,0.9583333333333334,0.9484536082474226,0.9623161764705883
4,0.9137931034482759,0.94,0.8703703703703703,0.9038461538461539,0.9184587813620071
5,0.9224137931034483,0.9807692307692307,0.864406779661017,0.918918918918919,0.9322033898305084
6,0.9482758620689655,0.9791666666666666,0.9038461538461539,0.94,0.9501201923076923
7,0.9137931034482759,0.9545454545454546,0.84,0.8936170212765957,0.9262121212121213
8,0.9304347826086956,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9426679586563307
9,0.9478260869565217,0.975,0.8863636363636364,0.9285714285714286,0.9329385403329067
10,0.8956521739130435,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9055690072639225
Mean,0.9334257871064467,0.9593550933302252,0.8884010704493113,0.921857655615187,0.9372306299018838
